"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
680704,"Sandlin, Nick",2023,"R",1005,114,6,-2.629974877165657,4.176886240379039,-0.6294139565097863,3.980941863587588
579328,"Kikuchi, Yusei",2023,"L",2839,141,42,1.6803570026985089,5.400033409287909,0.032238159761006475,3.9170876627996005
641793,"Littell, Zack",2023,"R",1350,139,43,-1.8712668117089961,6.149426205996515,-0.20453064818115801,4.596726839440155
668674,"Erceg, Lucas",2023,"R",1053,133,46,-1.3656418592419246,6.14659840313379,0.2390927077038188,4.460248795310237
573186,"Stroman, Marcus",2023,"R",2125,112,34,-1.917191085844291,5.267539920072631,-0.20785194337842094,4.099204045632798
682243,"Miller, Bryce",2023,"R",2095,136,46,-1.449474852808633,5.636320320423247,0.20936591855661768,3.9163086807567438
663556,"McClanahan, Shane",2023,"L",1820,139,43,1.5243685663408906,6.129069825325563,-0.037734099283069845,4.660040072917278
673540,"Senga, Kodai",2023,"R",2752,121,48,-1.3992905381935776,5.9232253733867575,0.11983054884083648,4.258971090770475
641540,"Dunning, Dane",2023,"R",2785,140,38,-1.9849173813317027,5.445377257842364,-0.10917291995890899,3.999041797828323
668933,"Ashcraft, Graham",2023,"R",2303,113,49,-1.4595499345818304,6.234260760259702,0.1124642926416215,4.437362656435886
624133,"Suárez, Ranger",2023,"L",2287,143,40,1.772965809231201,5.87799835330672,0.016558192472839198,4.391376908504786
666374,"Brash, Matt",2023,"R",1287,136,31,-1.9568741895292823,5.107577818260396,0.10394918885827983,3.8807723348942598
668678,"Gallen, Zac",2023,"R",3700,109,43,-1.475667049497944,5.897126483942994,0.07981703856530327,4.462285552126999
663559,"Falter, Bailey",2023,"L",1292,134,57,0.9061371393455425,5.729421261832545,-0.26742479077333137,3.9410239536597063
630023,"Chirinos, Yonny",2023,"R",1342,144,46,-1.5435703962884868,6.622414355100604,0.13569097689882087,4.856536496662073
571656,"Farmer, Buck",2023,"R",1222,113,33,-1.7951371393477338,5.808556116754047,0.21194171976334059,4.518535493959524
669194,"Nelson, Ryne",2023,"R",2426,109,49,-1.2561409540115898,5.974131836246173,0.24365479119550093,4.2591474453815135
543243,"Gray, Sonny",2023,"R",2983,142,48,-1.2047618138832317,5.514397814399826,0.21647511731660612,3.9264124964818463
663567,"Lambert, Peter",2023,"R",1450,115,50,-1.3644378070093544,5.941447050696989,0.12284264515335903,4.175743672444523
665871,"Assad, Javier",2023,"R",1710,112,53,-1.1643083382026609,5.99635143342462,0.19950908543640725,4.212981505040085
669456,"Bieber, Shane",2023,"R",1954,114,43,-1.4447221404289865,5.6379806180156145,0.1170786883982216,4.187381647545964
605200,"Davies, Zach",2023,"R",1443,109,36,-1.9951253731848024,5.512126530249808,-0.29236403956403945,4.285342853692849
666129,"Garrett, Braxton",2023,"L",2530,146,43,1.5958986674620488,6.023262806741739,-0.06420899339829347,4.466551861265521
669713,"Wesneski, Hayden",2023,"R",1461,112,39,-1.9791892457792795,5.5334391790161135,-0.1199235772387482,4.026396882339521
615698,"Quantrill, Cal",2023,"R",1706,114,46,-1.555994133538189,6.308046809294424,0.11997691883318398,4.5436158417496815
686610,"Waldichuk, Ken",2023,"L",2553,133,34,1.9440522560842344,5.465889624290862,0.10952002718831357,4.2092160367761435
622098,"Smith, Drew",2023,"R",1081,121,41,-1.8079061126077456,5.5184051538641805,-0.11096313590275067,4.066600105368869
669203,"Burnes, Corbin",2023,"R",3169,158,43,-1.601774193656859,5.892781681283076,0.03878399788728714,4.34554613906781
621076,"Kaprielian, James",2023,"R",1091,133,33,-2.096198135983516,5.914150516485369,-0.28551740590244934,4.729806365155846
669461,"Liberatore, Matthew",2023,"L",1003,138,46,1.5292076837106952,6.394423417901011,-0.057530783585073644,4.727135297849762
686613,"Brown, Hunter",2023,"R",2827,117,57,-1.0312240870060727,6.1654911277431195,0.18203337170157638,4.324814672369252
665622,"Medina, Luis",2023,"R",1945,133,44,-1.776658646095434,6.195762460482452,-0.05771101132296812,4.524234417194783
571670,"Floro, Dylan",2023,"R",961,142,37,-2.140297329217221,6.005864229268112,-0.34247430465517,4.660896663550488
571927,"Matz, Steven",2023,"L",1795,138,35,1.9843971555709057,5.608712931632052,0.05572133734526988,4.260203348378098
674072,"Henry, Tommy",2023,"L",1305,109,42,1.7741400326215666,5.665152485051894,-0.04002992343994371,4.017054241263205
694297,"Pfaadt, Brandon",2023,"R",1893,109,29,-2.345115650868241,5.491464866572643,-0.33688379808149554,4.358621656200299
642585,"Bautista, Félix",2023,"R",959,110,64,-0.3261502651046093,6.930814186203017,0.7859896717280144,4.642235398392933
672282,"Detmers, Reid",2023,"L",2599,108,39,1.7331720132383803,6.067282823993716,-0.0563648734018775,4.626845492953207
669467,"Pallante, Andre",2023,"R",1115,138,53,-1.6531931897286638,5.944553985828608,-0.3185275229211131,4.166826665867329
607259,"Martinez, Nick",2023,"R",1652,135,58,-0.926725720867673,6.1502961030033685,0.2744414872805827,4.223912587400135
