pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,woba,xwoba
579328,"Kikuchi, Yusei",2020,L,659,136,59,0.9480637146888388,5.843429493799508,-0.1918122239327514,3.97069425483685,Starter,9,0,795,194,24.22680412371134,10.309278350515463,29.72972972972973,3.937007874015748,36.22047244094488,0.29923195876288655,0.28203721649484537
663554,"Mize, Casey",2020,R,537,116,32,-2.02933052993941,5.544206350698716,-0.1921159678636987,4.4138074565463565,Starter,7,0,543,133,19.548872180451127,9.774436090225564,23.62204724409449,13.48314606741573,42.69662921348314,0.35925563909774433,0.40184028571428565
592644,"Plutko, Adam",2020,R,445,114,45,-1.491540963160428,6.034111886135246,0.1315589698879551,4.400432948692502,Reliever,4,6,446,116,12.931034482758621,6.0344827586206895,23.30508474576271,7.526881720430108,33.33333333333333,0.3485431034482758,0.339220350877193
668676,"Plesac, Zach",2020,R,686,114,49,-1.496688922846816,6.064520936457724,0.0243645552307193,4.340311893465645,Starter,8,0,776,207,27.536231884057973,2.898550724637681,29.756097560975608,9.859154929577464,33.098591549295776,0.24006763285024155,0.28492868446601943
641540,"Dunning, Dane",2020,R,483,145,40,-1.8528398229132168,5.821324566895339,-0.0568884361583895,4.31162158711772,Starter,7,0,571,142,24.647887323943664,9.15492957746479,27.6,6.521739130434782,32.608695652173914,0.26807746478873234,0.2946438661971831
461829,"Gonzalez, Gio",2020,L,571,145,37,1.862773739445201,5.577725456586577,0.1228334271297278,4.264426958931321,Reliever,4,8,618,155,21.29032258064516,12.258064516129032,32.37704918032787,7.216494845360824,32.98969072164948,0.37453548387096774,0.3562668543046358
668678,"Gallen, Zac",2020,R,845,109,42,-1.402425105328302,5.844420033706864,0.1258167380511645,4.447450544821881,Starter,12,0,1117,292,28.08219178082192,8.561643835616438,30.165289256198346,7.18232044198895,32.59668508287293,0.27222602739726026,0.2958012622377622
666120,"Anderson, Ian",2020,R,721,144,66,-0.4280354988281375,6.1224420439860365,0.4860442140792899,4.099203812729376,Starter,6,0,571,138,29.71014492753623,10.144927536231885,28.86178861788618,1.2345679012345678,32.098765432098766,0.23406521739130431,0.24158144927536232
643338,"Green, Chad",2020,R,429,147,48,-1.406983096141183,6.11814265320035,0.1283850124140565,4.438811948188472,Reliever,0,22,425,98,32.6530612244898,6.122448979591836,31.221719457013574,8.333333333333332,26.666666666666668,0.21946938775510202,0.23076150515463914
543243,"Gray, Sonny",2020,R,762,113,50,-1.1500308021147485,5.678637869659989,0.2545981491399054,4.0058075691418,Starter,11,0,968,235,30.638297872340424,11.063829787234042,29.457364341085274,3.7037037037037033,32.592592592592595,0.27495744680851064,0.30368791452991456
670990,"Ramírez, Yohan",2020,R,403,136,28,-2.0888765026326825,5.107408038100133,-0.0799075465371124,4.018236903675861,Reliever,0,16,420,93,27.956989247311824,20.43010752688172,29.87012987012987,6.8181818181818175,29.545454545454547,0.29874193548387096,0.314711623655914
521230,"Hendriks, Liam",2020,R,409,133,49,-1.5311564762153331,6.048753914092539,-0.1070398484007962,4.388647133536678,Reliever,0,24,370,91,40.65934065934066,2.197802197802198,36.05769230769231,3.8461538461538463,32.69230769230769,0.17105494505494503,0.24019580000000001
593423,"Montas, Frankie",2020,R,980,133,50,-1.3003906238200176,6.186695871894818,0.2001742894246377,4.409194085650317,Starter,11,0,914,237,25.31645569620253,9.70464135021097,28.640776699029125,7.8431372549019605,35.294117647058826,0.34584810126582277,0.32971104680851065
668687,"Scrubb, Andre",2020,R,451,117,59,-0.8361162599048202,6.475923567790254,0.3815814003763669,4.444071772336477,Reliever,0,20,407,101,23.762376237623762,18.81188118811881,24.637681159420293,3.4482758620689653,22.413793103448278,0.27699999999999997,0.30286131632653057
669456,"Bieber, Shane",2020,R,1107,114,44,-1.3299615414169983,5.66185086126793,0.2319828560336634,4.157014677840381,Starter,12,0,1238,298,40.939597315436245,7.046979865771812,40.65743944636678,7.18954248366013,43.13725490196079,0.2208959731543624,0.25088176027397263
605200,"Davies, Zach",2020,R,1082,135,38,-1.775174597014186,5.49826633354481,-0.1287301672605692,4.212869262946202,Starter,12,0,1055,276,22.82608695652174,6.884057971014493,25.454545454545453,10.309278350515463,36.597938144329895,0.27255434782608695,0.3443080620437956
622608,"Senzatela, Antonio",2020,R,736,115,41,-1.894424449743669,5.909826122417107,-0.1114383461204084,4.381621647523142,Starter,12,0,1136,303,13.531353135313532,5.9405940594059405,18.44106463878327,5.416666666666667,38.333333333333336,0.308996699669967,0.32962374172185427
615698,"Quantrill, Cal",2020,R,451,114,50,-1.186914697467213,6.546539348804849,0.3535191321721191,4.713388115141243,Reliever,3,15,504,135,22.962962962962962,5.185185185185185,24.778761061946902,7.608695652173914,31.521739130434785,0.2981777777777778,0.31638172519083974
571666,"Fiers, Mike",2020,R,507,133,44,-1.5005229423966309,6.252219226491269,0.150153671501952,4.669587394641559,Starter,11,0,916,258,14.34108527131783,6.2015503875969,15.571776155717762,7.5,33.5,0.33032945736434105,0.334483390625
669203,"Burnes, Corbin",2020,R,906,158,39,-1.72558607519657,5.914013555444271,0.0356399453723893,4.4989453909101496,Starter,9,3,1010,242,36.36363636363637,9.917355371900827,34.72527472527472,7.199999999999999,34.4,0.2367892561983471,0.2727116375
543507,"May, Trevor",2020,R,362,142,44,-1.3982678646440132,5.764475734100664,0.2669120158359677,4.134046002599935,Reliever,0,24,411,97,39.175257731958766,7.216494845360824,42.78350515463917,11.76470588235294,39.21568627450981,0.28900000000000003,0.28576746875
665620,"García, Deivi",2020,R,461,147,46,-1.346721411392474,5.406809126830844,0.1395096428640625,3.880268526602341,Starter,6,0,532,146,21.91780821917808,4.10958904109589,22.69503546099291,9.433962264150944,39.62264150943396,0.30258904109589047,0.33075214583333334
520980,"Báez, Pedro",2020,R,360,119,59,-0.8262850141548456,6.489289177979491,0.3860794883423697,4.474387020031814,Reliever,0,18,306,70,18.571428571428573,10.0,28.767123287671232,4.0,28.000000000000004,0.2375,0.27873054411764703
