"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
669952,"White, Mitch",2022,"R",1715,141,45,-1.6038070546950858,6.0975762389832395,0.04623884478466708,4.461463814616759
579328,"Kikuchi, Yusei",2022,"L",1843,141,42,1.6694661935072739,5.492280744159988,0.08163918797628066,4.079665284358705
573186,"Stroman, Marcus",2022,"R",2133,112,32,-1.7887934927372873,5.24469701605902,-0.05860398123704162,4.151471723815469
663556,"McClanahan, Shane",2022,"L",2548,139,39,1.7055875988236566,6.164818081495589,0.054666356332742874,4.827022355410702
668676,"Plesac, Zach",2022,"R",2161,114,51,-1.3349032568269197,6.213070700974528,0.09245993218792721,4.4531683984687245
641540,"Dunning, Dane",2022,"R",2469,140,33,-2.108293444170123,5.469599885801206,-0.15813133818349337,4.219198740965518
668933,"Ashcraft, Graham",2022,"R",1654,113,48,-1.3911017588820613,6.194300791877727,0.16950932175442457,4.468858719584348
624133,"Suárez, Ranger",2022,"L",2807,143,37,1.827315538870023,5.845640453344206,0.01667357634053393,4.484070974683229
668678,"Gallen, Zac",2022,"R",2935,109,44,-1.3741349899188346,5.901697698577456,0.10633279787553859,4.492227408892007
663559,"Falter, Bailey",2022,"L",1319,143,57,0.8977293647031934,5.725273941762926,-0.23867725110445331,3.9470314728248455
605447,"Romano, Jordan",2022,"R",1016,141,47,-1.4580469255579966,5.9804886267255455,0.11278525262467198,4.28087305763752
666120,"Anderson, Ian",2022,"R",1998,144,60,-0.8441014357870167,6.242033710812553,0.2501101203253162,4.353474531751001
570632,"Ureña, José",2022,"R",1622,115,35,-2.1021361836553925,5.837166695321528,-0.13345807023964157,4.474624675089183
543243,"Gray, Sonny",2022,"R",1798,142,47,-1.1432052887795439,5.467186859551861,0.2413745741455649,3.9840180113475236
521230,"Hendriks, Liam",2022,"R",948,145,46,-1.5942487815534387,5.901812519050445,-0.14326591886850623,4.389376049117382
593423,"Montas, Frankie",2022,"R",2339,147,46,-1.4842597355677156,6.054780920183113,0.12205926721887794,4.395827160699873
676879,"Ashby, Aaron",2022,"L",1876,158,46,1.2272594954394374,6.311502602790468,-0.4136605338946978,4.584174807019152
669456,"Bieber, Shane",2022,"R",3074,114,41,-1.4613695575322911,5.579803099728761,0.10740886884652691,4.212896838500583
605200,"Davies, Zach",2022,"R",2289,109,37,-1.8424348192308673,5.613314247222442,-0.19613912862337052,4.35635378423819
622608,"Senzatela, Antonio",2022,"R",1521,115,45,-1.747893555406843,6.11462467879213,-0.13594359325943048,4.480019725623798
656657,"Logue, Zach",2022,"L",1022,133,22,2.2949511131442164,5.156652540776302,0.2759170857882381,4.354014685039646
666129,"Garrett, Braxton",2022,"L",1421,146,39,1.6772308306175088,6.04496593450131,-0.022730087583622754,4.652517975152447
615698,"Quantrill, Cal",2022,"R",3070,114,45,-1.5358140936019495,6.399184992845598,0.13420583006729483,4.729543966712548
669203,"Burnes, Corbin",2022,"R",3260,158,41,-1.6180359194222182,5.967157599029926,0.03213471826711724,4.519782615973885
677651,"Garcia, Luis",2022,"R",2537,117,45,-1.5156620071194893,6.293153523535673,-0.0861938229005725,4.8427981217025495
621076,"Kaprielian, James",2022,"R",2229,133,37,-1.8492167429902693,6.071972641245832,-0.16292742714933348,4.785491585757026
573204,"Thielbar, Caleb",2022,"L",987,142,52,0.9460509932934255,6.036851579447834,-0.4297499301074394,4.269840618142811
592662,"Ray, Robbie",2022,"L",3002,136,44,1.6726435249378881,6.095732350273692,0.0670796301277461,4.519097866217528
664854,"Helsley, Ryan",2022,"R",994,138,53,-1.2108883548959846,6.02951734873516,0.15166116646402472,4.230622284329867
543766,"Shaw, Bryan",2022,"R",969,114,45,-1.7482313506545366,6.1029056668352,-0.19532040887844007,4.539665636146569
641302,"Alexander, Tyler",2022,"L",1591,116,39,1.851607749720968,5.73661233301857,0.12550159290617563,4.322060575866251
641816,"Mahle, Tyler",2022,"R",2101,142,42,-1.8939042913654611,5.568822575625381,-0.28903130344518047,4.10731299478815
660761,"Suarez, José",2022,"L",1783,108,31,1.9774762917970508,5.2633271287307535,0.14945418779860908,4.16226624672711
642585,"Bautista, Félix",2022,"R",983,110,58,-0.8101586900746944,6.98383959264794,0.5184041620199362,4.885935211337846
672282,"Detmers, Reid",2022,"L",2179,108,39,1.6328058045471432,6.072280386659484,-0.04847473885795304,4.701926019474501
502042,"Archer, Chris",2022,"R",1787,142,54,-1.2787238038395483,6.255076968217596,-0.010392377559458446,4.541022914104338
